43188,代码,名称,GB,MACD,BIAS,MA,KDJ,CR,OBV,BOLL,ADTM,MI,CD,RSI,DMI,6组总量,6组涨幅,6组振幅,6组上涨%,9组总量,9组涨幅,9组振幅,9组均价,12组总量,12组涨幅,12组振幅,12组上涨%,54组总量,54组涨幅,54组振幅,54组上涨%,90组总量,90组涨幅,90组振幅,90组上涨%
1,150008',瑞和小康,0.036,0.002,-4.091,1.177,70.349,40.189,-2430559,1.183,-0.107,-0.057,0.302,13.341,4.315,1423,-0.059,0.1279,16.67,1792,-0.0574,0.1339,1.19,2827,-0.0479,0.1353,41.67,25987,0.0053,0.1429,38.89,36798,0.1163,0.2578,41.11
2,150009',瑞和远见,0.012,-0.005,-4.436,0.966,24.885,79.24,5110995,0.991,-0.402,-0.098,-0.018,18.887,11.548,15532,-0.0792,0.105,16.67,19846,-0.0882,0.1186,0.99,28042,-0.0953,0.1508,16.67,57960,-0.0422,0.1658,38.89,97138,0.009,0.1747,45.56
3,150012',中证100A,0.015,0,-2.075,1.021,67.618,71.144,6023818,1.015,0.004,-0.022,0.075,40.074,14.035,5187,0.0363,0.0633,66.67,5400,-0.0177,0.0944,1.01,8320,-0.0215,0.094,50,41020,-0.0403,0.1335,38.89,95988,-0.0235,0.1359,43.33
4,150013',中证100B,0.051,-0.014,-4.069,1.6,23.739,91.638,30145246,1.699,-0.258,-0.223,0.327,28.273,15.119,14319,-0.1034,0.1787,33.33,18338,-0.1236,0.1815,1.66,25288,-0.1251,0.2036,33.33,88071,-0.0189,0.2283,59.26,161818,0.1143,0.2979,61.11
5,150016',合润A,-0.027,-0.012,-6.501,1.137,36.092,36.318,638867,1.172,-0.496,-0.11,0.344,7.657,5.3,2055,-0.0894,0.1158,33.33,5886,-0.1047,0.1173,1.16,12107,-0.0933,0.1247,41.67,53621,-0.1002,0.1658,37.04,75856,0.0085,0.1858,43.33
6,150017',合润B,0.038,-0.025,-0.034,1.445,15.724,62.573,1855153,1.546,-0.532,-0.136,0.241,40.589,5.739,22251,-0.0563,0.0971,16.67,26534,-0.066,0.1224,1.49,37433,-0.0853,0.1412,33.33,144251,0.0007,0.1833,59.26,219938,0.1692,0.2951,64.44
7,150018',银华稳进,-0.061,-0.015,0.588,0.878,78.746,84.066,144286496,0.885,-0.362,0.001,-0.978,55.524,13.38,1053347,-0.0034,0.0564,66.67,1190285,-0.0034,0.0564,0.88,1315180,0.0011,0.0566,58.33,8688686,-0.1366,0.1826,35.19,11747295,-0.217,0.2981,34.44
8,150019',银华锐进,-0.01,-0.042,0.977,1.158,22.782,60.415,59954576,1.306,-0.539,-0.195,-0.214,43.615,6.538,2668100,-0.0726,0.1733,33.33,3891097,-0.0931,0.2137,1.21,5372610,-0.141,0.2531,41.67,26693512,-0.0182,0.2975,50,43720032,0.1218,0.3399,55.56
9,150022',深成指A,-0.191,-0.034,0.531,0.752,31.619,40.481,65546120,0.78,-0.634,-0.03,-2.136,46.026,11.31,2699544,-0.0117,0.0548,16.67,3081533,-0.0282,0.0705,0.76,3324434,-0.0381,0.0787,16.67,7226759,-0.2447,0.2754,35.19,11700173,-0.2328,0.3005,41.11
10,150023',深成指B,0.004,-0.01,1.164,0.383,16.475,72.407,121423744,0.42,-0.352,-0.055,-0.22,42.475,15.054,2761631,-0.0556,0.1087,33.33,3689991,-0.0991,0.1636,0.4,4778697,-0.1233,0.1951,25,15755880,-0.0369,0.2217,50,30723538,-0.069,0.2262,47.78
11,150028',中证500A,-0.039,-0.032,-0.309,0.901,20.604,98.216,27809656,0.995,-0.315,-0.097,-0.666,42.556,30.272,1245,-0.0777,0.1451,50,2002,-0.0703,0.1543,0.94,3000,-0.0957,0.154,33.33,19160,-0.1138,0.2789,42.59,37943,-0.0777,0.2903,44.44
12,150029',中证500B,0.049,-0.021,2.08,1.374,26.754,86.579,63115516,1.447,-0.217,-0.114,0.183,50.7,13.709,12132,0.005,0.085,33.33,18809,-0.0639,0.1317,1.39,22869,-0.075,0.142,25,66554,0.0122,0.1683,55.56,117161,-0.1038,0.1828,50
13,150030',中证90A,0.167,-0.001,11.83,1.004,70.053,113.102,35048120,1.009,0.108,0.005,1.294,64.404,42.066,87,0.1637,0.255,66.67,111,0.0519,0.2305,0.99,306,0.0046,0.2202,41.67,10352,0.0704,0.242,50,15281,0.094,0.2474,51.11
14,150031',中证90B,-0.08,-0.038,-6.875,1.205,23.728,42.468,-92252936,1.318,-0.482,-0.236,-1.134,17.877,3.393,1619,-0.1416,0.1943,16.67,2084,-0.1618,0.2316,1.26,7910,-0.1715,0.2616,25,31948,-0.1691,0.336,44.44,43739,-0.1094,0.3602,44.44
15,150032',多利优先,0.056,0.003,0.306,1.035,91.29,63.504,1793576,1.028,-0.3,0.024,0.894,62.972,6.324,25617,0.0088,0.0982,66.67,28016,0.0029,0.0977,1.03,28505,0.0237,0.0997,50,82447,0.0237,0.1402,44.44,189186,0.036,0.1419,42.22
16,150033',多利进取,0.104,0.01,-1.647,1.011,82.791,70.765,421547,0.993,0.036,0.005,0.727,43.64,14.815,299,-0.0293,0.1015,33.33,344,-0.004,0.1041,1.01,4432,0.0051,0.1051,50,24750,0.029,0.1841,42.59,36260,0.0408,0.1862,44.44
17,150036',建信稳健,0.04,0.031,-4.274,1.007,39.742,122.295,106254,0.951,0.224,-0.014,0.143,42.221,42.837,247,-0.123,0.1193,33.33,751,-0.037,0.138,1.02,797,-0.0144,0.1412,50,4191,0.0745,0.3333,46.3,7733,0.0554,0.3274,43.33
18,150037',建信进取,0.291,0.078,8.67,2.088,68.091,158.442,788627,1.949,0.412,0.338,2.695,75.841,51.575,1910,0.1053,0.232,66.67,2467,0.258,0.2751,2.07,2535,0.1743,0.3595,66.67,7118,0.38,0.4485,61.11,11004,0.4457,0.6584,54.44
19,150047',消费A,0.388,0.084,3.68,1.361,85.611,177.142,580260,1.185,0.488,0.194,4.302,80.887,72.54,227,0.0564,0.0933,16.67,1377,0.085,0.0958,1.35,1534,0.1603,0.1025,25,7692,0.3058,0.3804,33.33,13588,0.2746,0.3713,36.67
