series,code,name,close,BIAS,CCI,RSI,CR,PSY,MACD,KD,W&R,BBI,DMI-QL,KDJ,W&R,PSY,ARBR,OBV,WVAD,SOBV,BOLL,CHANNELS,VOL,AMOUNT,CJBS,VSTD,ADTM,92日换手,92日涨幅,92日振幅,92日总量,92日上涨%,32日换手,32日涨幅,32日振幅,32日总量,32日上涨%,21日涨幅,21日振幅,21日换手,21日总量,21日上涨%,GB2
1,150270',白酒B,1.258,9.078,120.379,65.623,178.236,58.333,0.003,67.738,22.346,1.214,27.793,72.11,22.346,58.333,178.354,20356410,289793.844,28699790,1.142,1.298,38234,4796533,406,41370.371,0.764,5.569,0.4705,0.5555,4039292.25,50,1.8652,0.1272,0.1747,1352854,58.82,0.0616,0.1511,1.7129,1242418,53.33,0.427
2,150199',食品B,1.342,9.79,105.764,72.285,210.598,50,0.007,81.696,17.751,1.295,33.724,80.871,17.751,50,183.333,35623952,257677.188,42291080,1.211,1.379,16587,2210598,202,18038.258,0.731,0.9029,0.4353,0.492,1387925,52.46,0.3583,0.1629,0.1872,550722,52.94,0.1091,0.1479,0.3256,500484,46.67,0.392
3,150272',生物药B,1.195,7.319,49.412,62.57,177.591,50,0.009,75.736,42.623,1.175,38.118,68.517,42.623,50,242.593,-1514705,6093.252,-706434,1.106,1.249,6,726,3,332.107,0.393,0.2169,0.3799,0.5104,31053,56.14,0.0503,0.1832,0.2594,7206,60,0.0622,0.1529,0.0287,4103,53.85,0.337
4,169104',东证睿满,1.758,9.487,31.635,70.327,209.15,58.333,0.015,73.01,53.771,1.724,46.788,60.39,53.771,58.333,159.886,54478,27714.641,50862,1.592,1.86,8196,1415960,135,4838.724,0.585,0.0129,0.3724,0.548,147145,57.63,0.0079,0.1886,0.334,90567,68.75,0.1269,0.2635,0.0086,98858,66.67,0.329
5,150149',医药800B,0.826,12.681,98.757,81.276,249.78,58.333,0.014,92.221,14.754,0.791,37.815,89.327,14.754,58.333,273.846,3705025,86684.602,19064472,0.727,0.841,9697,805289,38,3503.694,0.797,0.5452,0.3721,0.4252,322406,56.67,0.2235,0.2147,0.2382,132172,68.75,0.1536,0.1704,0.189,111756,64.29,0.329
6,150310',信息安B,0.657,-4.012,-113.844,51.043,108.912,50,-0.023,29.19,88.182,0.679,30.811,16.934,88.182,50,213.649,-9427,-1438.946,1416516,0.682,0.769,316,20623,5,151.665,0.122,0.4009,0.3574,0.8285,34799,52.83,0.0568,0.0108,0.3385,4929,53.85,-0.0988,0.3018,0.0219,1898,45.45,0.314
7,150230',酒B,1.582,9.119,144.824,68.908,176.371,58.333,0.013,87.039,10.9,1.525,35.932,90.043,10.9,58.333,257.576,4873633,58804.242,8991313,1.441,1.603,3567,556945,45,3018.1,0.705,0.7351,0.3533,0.4157,247412,50,0.1758,0.1341,0.1677,59172,56.25,0.1341,0.1513,0.1408,47388,57.14,0.31
8,150057',中小300A,,29.493,201.542,78.888,483.895,58.333,0.081,67.191,0,1.274,63.402,85.583,0,58.333,232.653,236634.719,-181.633,2152414.75,1.161,1.309,1,151,1,216.306,0.849,0.0829,0.3476,0.3932,2507,52.78,0.0264,0.3561,0.3534,797,85.71,0.3525,0.3354,0.0249,754,83.33,0.305
9,150324',环保B端,0.522,-0.453,-114.575,55.789,89.499,41.667,-0.006,58.642,65.217,0.532,20.204,59.381,65.217,41.667,85.246,1284633,9762.664,2223998,0.523,0.564,308,15610,11,1105.133,-0.005,0.3841,0.335,0.4578,111992,56.9,0.1276,0.0255,0.1356,37216,43.75,0.0038,0.1327,0.1229,35841,42.86,0.292
10,169103',东证睿轩,1.778,9.977,62.857,71.634,195.542,66.667,0.01,77.323,31.773,1.719,39.094,66.854,31.773,66.667,141.72,71290,15436.957,90075,1.604,1.844,3127,549747,87,4427.016,0.571,0.0152,0.3348,0.4294,157363,55.74,0.0078,0.1798,0.2389,81437,70.59,0.1196,0.1883,0.0071,73286,66.67,0.292
