series,代码,名称,市盈率,市净率,每股收益,每股净资产,净资产收益率,每股经营现金,每股公积金,每股未分配,股东权益比,净利润同比,主营收入同比,销售毛利率,调整每股净资,总资产,固定资产,总负债,股东权益,资本公积金,经营现金流量,投资现金流量,现金增加额,主营收入,主营利润,营业利润,利润总额,净利润,未分配利润,总股本,无限售股合计,A股,BBI,ARBR,KDJ,BOLL,OBV,BIAS,MACD,MA,PSY,WVAD,CD,MI,DMI-QLL,ABV,Z-SCORE,122日涨幅,122日振幅,122日换手,122日总量,92日涨幅,92日振幅,92日换手,92日总量,GB
1420,'002180',纳思达,-25.585,24.653,-0.862,0.865,-0.6383,-0.36,0.263,-0.151,1.77,-819.88,675.75,7.402,0.454,5114909,390110,4847591,90532,26631,-36398,44891,5964,522661,36160,-211502,-209545,-85858,-12230,101202,19281,19281,22.537,73.431,36.735,23.594,17292594,1.045,-0.848,21.998,41.667,-51689.926,-1.676,-1.47,14.766,691.733,-0.118,-0.2096,0.2725,0.3873,746684,-0.1498,0.235,0.2191,422407,-0.203
2469,'300608',思特奇,-27.491,3.444,-0.654,6.033,-0.1361,-0.819,3.369,1.335,60.797,5.4,7.21,-2.671,5.998,90300,1937,35401,54900,31553,-7182,-22,16560,6291,-225,-5803,-5755,-5730,13722,8765,2191,2191,30.323,63.669,10.905,32.413,-25435.299,-3.15,-1.405,28.65,33.333,-19827.85,-2.314,-5.42,14.874,-0.964,1.674,-0.5047,0.5698,5.0941,1116191.38,-0.2717,0.3335,2.6304,576365.25,-0.425
2475,'300616',尚品宅配,-224.324,6.374,-0.57,20.059,-0.0574,-1.365,12.843,5.937,64.772,23.04,27.65,44.223,19.442,334465,71475,117825,216640,138706,-14742,-24585,98003,79377,34203,-5659,-5721,-4657,64124,10800,2700,2700,131.807,88.288,37.453,135.057,-322245,0.188,-1.169,128.356,41.667,-4539.105,-0.317,-8.69,12.265,-12.903,1.928,-0.294,0.4471,4.7354,1278551,-0.0978,0.1791,1.7273,466359,-0.171
580,'600793',宜宾纸业,-83.542,1048.865,-0.468,0.0373,-1.7251,-0.748,1.001,-1.998,0.111,-303.92,88.63,0.772,-0.304,352810,201361,352417,393,10537,-7871,6362,-38,22694,-16,-5047,-4930,-4931,-21041,10530,10530,10530,39.666,71.028,56.776,40.42,8227716,0.796,0.091,38.952,58.333,-12896.417,0.473,-1.44,22.638,329.109,-0.653,-0.0669,0.4343,1.4328,1508718,0.3873,0.5336,0.8101,853037,-0.062
1530,'002309',中利集团,-34.565,1.594,-0.39,8.358,-0.0452,-0.562,5.197,1.996,22.287,-2357.37,11.84,11.703,8.317,2434153,365735,1871658,542510,333342,-36062,-20428,86266,291946,32869,-26526,-26013,-25096,134417,64141,35181,35181,13.331,131.618,86.486,12.809,16611929,0.505,0.32,13.552,66.667,152187.844,0.556,0.77,24.116,664.808,0.526,-0.0286,0.1786,0.6593,2319398,0.0551,0.1815,0.4961,1745321,0.006
939,'000410',*ST沈机,-23.874,16.339,-0.35,0.511,-0.5088,0.0922,1.628,-2.298,1.587,-114.62,-46.06,25.076,0.478,2466768,287433,2411337,39143,124626,7059,-3210,-19565,88386,21469,-27781,-26997,-26710,-175872,76547,74034,74034,8.212,156.8,61.923,7.719,107982168,0.918,0.299,8.342,50,136410.688,0.809,0.9,33.573,4320.629,-0.065,-0.291,0.4853,1.1785,8725083,-0.0726,0.3564,0.8907,6594232,-0.253
932,'000401',冀东水泥,-56.656,2.164,-0.274,7.167,-0.0417,-0.0544,3.652,1.64,23.442,54.17,22.13,21.381,6.853,4119965,2293908,3040749,965794,492175,-7327,71069,49608,175861,33924,-47503,-45095,-36892,220971,134752,134715,134715,15.712,116.437,31.78,15.875,84474016,1.35,-0.249,15.272,66.667,1402268.5,-1.347,-0.53,28.384,3373.61,-0.036,0.1099,0.9667,4.7678,64230020,-0.2275,0.387,3.9725,53515548,0.111
1468,'002234',民和股份,-66.331,5.247,-0.25,3.16,-0.0764,-0.175,2.853,-1.085,43.111,-209.55,-23.59,-11.166,2.822,221426,99622,125967,95459,86188,-5281,-7349,-6352,22062,-2625,-7723,-7585,-7586,-32779,30205,20615,20615,15.569,164.682,87.308,14.027,16825986,4.28,0.976,16.164,41.667,758465.438,3.672,2.42,27.607,675.934,0.127,-0.1143,0.4823,3.3637,6934247,0.1176,0.4562,2.8119,5796733,-0.041
137,'600189',吉林森工,-34.072,1.906,-0.24,4.29,-0.05,-0.443,2.349,0.34,33.905,-178.88,-64.31,16.461,4.286,392843,37462,258570,133194,72939,-13768,23414,8598,3474,495,-7587,-7534,-7426,10561,31050,31050,31050,8.787,96.324,12.946,9.507,40899264,-2.038,-0.33,8.304,41.667,464410.656,-1.186,-1.71,10.954,1635.314,0.188,-0.3032,0.3285,1.8288,5678383,-0.111,0.3233,1.4971,4648407,-0.224
1868,'002713',东易日盛,-82.14,4.824,-0.23,3.916,-0.0579,0.409,1.865,0.946,36.744,5.49,31.21,31.928,3.827,270434,28715,162896,99369,47335,10388,-73518,-69791,53373,16640,-4956,-4952,-5873,24009,25375,7413,7413,19.711,82.088,22.555,20.257,3618008,-1.744,-0.424,19.122,33.333,-3563.061,-1.606,-1.56,15.63,144.774,0.666,-0.2714,0.3677,1.7935,1329600,-0.1988,0.272,1.024,759099,-0.254
